Rank Tertinggi,score,Koleksi,Jumlah Skin,score_kolektor,Winrate keseluruhan,score,total match,score, Harga ,
Legend I,2,Kolektor Ternama V ,219,25,59.9,3,1087,1," Rp290,000.00 ",
Legend V,2,Kolektor Juragan IV ,463,34,45,1,811,1," Rp2,200,000.00 ",
Mythical Honor (33 Bintang),4,Kolektor Ternama II ,286,22,45,1,5234,4," Rp480,000.00 ",
Epic III,1,Kolektor Terhormat II ,411,27,45,1,7200,4," Rp700,000.00 ",
Legend II,2,Kolektor Terhormat IV ,366,29,50.73,2,1184,1," Rp600,000.00 ",
Mythic (23 Bintang),3,Kolektor Terhormat V ,273,30,60.25,4,2040,2," Rp750,000.00 ",
Mythical Glory (91 Bintang),5,Kolektor Juragan III ,510,33,56.65,3,939,1," Rp1,700,000.00 ",
Legend IV,2,Kolektor Terhormat IV ,313,29,63.88,4,1386,1," Rp700,000.00 ",
Mythical Honor (39 Bintang),4,Kolektor Juragan III ,510,33,45,1,3870,3," Rp2,300,000.00 ",Februari
Legend III,2,Kolektor Terhormat IV ,313,29,57.06,3,11516,5," Rp900,000.00 ",
Mythic (16 Bintang),3,Kolektor Terhormat II ,418,27,49.21,1,3484,3," Rp800,000.00 ",
Legend IV,2,Kolektor Terhormat V ,338,30,50.89,2,3981,3," Rp500,000.00 ",
Mythical Glory (98 Bintang),5,Kolektor Ternama V ,218,25,50.16,2,3633,3," Rp250,000.00 ",
Mythic (24 Bintang),3,Kolektor Ternama I ,278,21,63.71,4,3126,3," Rp620,000.00 ",
Mythical Glory (87 Bintang),5,Kolektor Ternama I ,215,21,55.12,3,4018,3," Rp680,000.00 ",
Mythic (5 Bintang),3,Kolektor Ternama II ,215,22,50.1,2,510,1," Rp600,000.00 ",
Mythic (17 Bintang),3,Kolektor Juragan IV ,596,34,53.41,2,11581,5," Rp1,200,000.00 ",
Mythic (7 Bintang),3,,,0,51.64,2,718,1,,
Mythic (23 Bintang),3,Kolektor ternama IV ,243,0,61.32,4,7431,4," Rp250,000.00 ",
Legend I,2,Kolektor Ternama III ,283,23,64.14,4,1887,2," Rp300,000.00 ",
Legend III,2,Kolektor Terhormat II ,336,27,50.1,2,612,1," Rp640,000.00 ",
Legend IV,2,HB,,0,51.05,2,4371,3," Rp432,500.00 ",
Epic IV,1,Kolektor Ternama II ,228,22,48.29,1,4967,3," Rp900,000.00 ",
Mythical Honor (43 Bintang),4,Kolektor juragan IV ,425,0,51.48,2,1685,2," Rp2,300,000.00 ",
Mythic (21 Bintang),3,kolektor juraga III ,511,0,56.57,3,2762,2," Rp2,470,000.00 ",
Mythical Honor (25 Bintang),4,Kolektor juragan IV ,543,0,61.18,4,2589,2," Rp1,900,000.00 ",
Mythic (24 Bintang),3,Kolektor ternama II ,182,0,52.27,2,6100,4," Rp650,000.00 ",
Mythical Glory (85 Bintang),5,Kolektor Ternama II ,235,22,45,1,9086,5," Rp550,000.00 ",
Legend II,2,Kolektor Juragan V ,469,35,51.24,2,1768,2," Rp2,000,000.00 ",
Epic V,1,Kolektor Ternama I ,284,21,61.62,4,2607,2," Rp580,000.00 ",
Legend II,2,Kolektor Terhormat IV ,355,29,48.6,1,5953,4," Rp500,000.00 ",
Legend I,2,Kolektor Terhormat II ,415,27,51.05,2,5006,4," Rp800,000.00 ",
Epic V,1,Kolektor Terhormat II ,427,27,50.53,2,6684,4," Rp1,100,000.00 ",
Legend I,2,Kolektor Ternama III ,255,23,59.36,3,2983,2," Rp490,000.00 ",
Legend IV,2,Kolektor Ahli I ,193,16,52.26,2,1921,2," Rp200,000.00 ",
Epic III,1,kolektor Terhormat III ,455,0,50.76,2,10904,5," Rp690,000.00 ",
Legend IV,2,Kolektor Ternama II ,367,22,57.54,3,10486,5," Rp500,000.00 ",
Mythical Honor (33 Bintang),4,kolektor Juragan II ,568,0,51.46,2,1438,1," Rp2,800,000.00 ",
Epic V,1,Kolektor Terhormat IV ,314,29,55.38,3,1657,2," Rp630,000.00 ",
Mythic (16 Bintang),3,Kolektor Ternama III ,209,23,50.14,2,3062,3," Rp650,000.00 ",
Mythic (13 Bintang),3,Kolektor Juragan III ,513,33,56.45,3,9958,5," Rp2,600,000.00 ",
Legend III,2,Kolektor juragan II ,617,0,48.38,1,4171,3," Rp3,800,000.00 ",
Mythical Glory (60 Bintang),5,Kolektor Ternama II ,217,22,60.95,4,2997,2," Rp685,000.00 ",
Mythical Honor (26 Bintang),4,Kolektor Ternama I ,358,21,62.03,4,4728,3," Rp350,000.00 ",
Legend III,2,Kolektor Ahli V ,155,20,45,1,11475,5," Rp100,000.00 ",
Legend IV,2,Kolektor Ternama III ,236,23,60.11,4,1664,2," Rp350,000.00 ",
Mythical Honor (46 Bintang),4,Kolektor Ternama I ,284,21,59.17,3,1535,2," Rp700,000.00 ",
Legend II,2,Kolektor Ternama I ,300,21,63.85,4,699,1," Rp600,000.00 ",
Legend II,2,Kolektor Ternama II ,225,22,54.62,2,1075,1," Rp500,000.00 ",
Legend IV,2,Kolektor Ternama V ,181,25,63.61,4,5098,4," Rp350,000.00 ",
Legend V,2,Kolektor Juragan V ,567,35,60.39,4,1467,1," Rp1,300,000.00 ",
Legend I,2,Kolektor Terhormat II ,450,27,65.74,5,695,1," Rp920,000.00 ",
Epic II,1,kolektor Terhormat II ,441,0,53.24,2,6636,4," Rp780,000.00 ",
Epic V,1,Kolektor Ternama I ,296,21,51.89,2,8096,5," Rp600,000.00 ",
Mythic (17 Bintang),3,Kolektor Juragan V ,506,35,48.37,1,721,1," Rp1,200,000.00 ",
