Rank Tertinggi,score,Koleksi,Jumlah Skin,score_kolektor,Winrate keseluruhan,score,total match,score, Harga ,
Mythic (23 Bintang),3,Kolektor Juragan I ,548,31,50.33,2,4542,3," Rp5,500,000.00 ",
Legend III,2,Kolektor Terhormat II ,408,27,52.05,2,4164,3," Rp1,400,000.00 ",
Legend I,2,Kolektor Ternama I ,293,21,55.02,3,3826,3," Rp650,000.00 ",
Mythical Honor (43 Bintang),4,Kolektor Ternama III ,200,23,57.54,3,2602,2," Rp450,000.00 ",
Epic V,1,Kolektor Ternama I ,301,21,45,1,3240,3," Rp580,000.00 ",
Epic I,1,Kolektor Ternama I ,387,21,56.32,3,6179,4," Rp500,000.00 ",
Mythical Honor (26 Bintang),4,Kolektor Ternama I ,305,21,45,1,3808,3," Rp800,000.00 ",
Mythical Honor (33 Bintang),4,Kolektor juragan V ,520,0,45,1,2178,2," Rp1,750,000.00 ",
Mythical Honor (37 Bintang),4,Kolektor Terhormat IV ,298,29,52.39,2,2640,2," Rp1,050,000.00 ",
Epic II,1,Kolektor Juragan V ,507,35,64.73,4,7440,4," Rp1,700,000.00 ",
Mythic (19 Bintang),3,Kolektor Ternama II ,233,22,55.87,3,2228,2," Rp644,000.00 ",
Epic II,1,Kolektor Terhormat III ,343,28,59.46,3,2263,2," Rp1,200,000.00 ",
Mythic (19 Bintang),3,Kolektor Terhormat II ,354,27,48.85,1,1904,2," Rp1,450,000.00 ",
Mythical Glory (54 Bintang),5,Kolektor Terhormat IV ,374,29,45,1,2626,2," Rp700,000.00 ",
Legend III,2,Kolektor Ternama I ,266,21,57.25,3,4014,3," Rp570,000.00 ",
Mythic (13 Bintang),3,Kolektor Juragan V ,439,35,62.42,4,2383,2," Rp1,950,000.00 ",
Legend III,2,HB,,0,48.55,1,4681,3,,
Legend II,2,Kolektor Juragan II ,610,32,56.14,3,11795,5," Rp3,200,000.00 ",
Mythical Honor (38 Bintang),4,Kolektor Ternama IV ,167,24,60.48,4,2974,2," Rp620,000.00 ",
Legend III,2,Kolektor Juragan V ,469,35,57.14,3,4179,3," Rp1,500,000.00 ",
Epic IV,1,Kolektor Terhormat V ,269,30,52.75,2,4672,3,,
Legend IV,2,Kolektor Terhormat III ,403,28,53.82,2,3647,3," Rp800,000.00 ",
Mythical Honor (33 Bintang),4,HB,,0,51.87,2,5206,4,,
Mythical Glory (94 Bintang),5,HB,,0,57.04,3,5616,4,,
Mythical Honor (38 Bintang),4,Kolektor Terhormat III ,348,28,64.87,4,3026,3," Rp900,000.00 ",
Epic V,1,Kolektor Ternama I ,341,21,63.33,4,4767,3," Rp450,000.00 ",
Mythic (13 Bintang),5,Kolektor IV ,167,0,60.54,4,2067,2," Rp620,000.00 ",
Legend III,2,Kolektor Ternama II ,242,22,54.85,2,1184,1," Rp700,000.00 ",
Epic V,1,Kolektor Juragan II ,523,32,62.05,4,2513,2," Rp3,150,000.00 ",
Epic I,1,Kolektor Juragan V ,419,35,61.07,4,744,1," Rp1,800,000.00 ",
Mythical Glory (50 Bintang),5,Kolektor Juragan III ,449,33,45,1,1397,1," Rp2,000,000.00 ",
Mythic (20 Bintang),3,Kolektor Ternama I ,311,21,51.75,2,1714,2," Rp500,000.00 ",
Legend I,2,kolektor terhormat V ,282,0,54.54,2,3928,3," Rp770,000.00 ",
Epic III,1,Kolektor Sultan ,602,36,63.42,4,4164,3," Rp5,500,000.00 ",
Mythic (9 Bintang),3,Kolektor Ternama I ,295,21,51.7,2,2343,2," Rp850,000.00 ",
Legend II,2,Kolektor Ternama I ,280,21,64.47,4,6914,4," Rp700,000.00 ",
Epic II,1,Kolektor Juragan IV ,521,34,63.58,4,10355,5," Rp1,800,000.00 ",
Legend IV,2,Kolektor Ternama I ,242,21,63.79,4,13869,5," Rp700,000.00 ",
Mythical Honor (35 Bintang),4,Kolektor Ternama I ,302,21,47.93,1,1543,2," Rp600,000.00 ",
Mythic (20 Bintang),3,kolektor Terhormat II ,446,0,45,1,1739,2," Rp900,000.00 ",
Mythic (17 Bintang),3,Kolektor Terhormat I ,462,26,60.48,4,1205,1," Rp1,300,000.00 ",
Legend II,2,Kolektor Terhormat IV ,399,29,48.81,1,1399,1," Rp1,000,000.00 ",
Mythic (14 Bintang),3,Kolektor Juragan II ,594,32,45,1,4092,3," Rp4,000,000.00 ",
Mythic (12 Bintang),3,Kolektor Sultan ,666,36,54.85,2,4315,3,,
Legend I,2,Kolektor Juragan II ,573,32,45,1,1852,2," Rp3,000,000.00 ",
Epic V,1,Kolektor Ternama II ,176,22,63.47,4,1494,1," Rp1,500,000.00 ",
Legend IV,2,Kolektor Terhormat IV ,332,29,53.19,2,6567,4," Rp650,000.00 ",
Mythic (18 Bintang),3,Kolektor Juragan IV ,500,34,57.14,3,6340,4,,
Mythic (18 Bintang),3,Kolektor Juragan I ,515,31,62.43,4,1492,1,,
Mythical Glory (89 Bintang),5,Kolektor Terhormat II ,347,27,45,1,2882,2," Rp1,300,000.00 ",
Epic IV,1,Kolektor Terhormat II ,427,27,54.66,2,3149,3," Rp1,300,000.00 ",
Mythical Honor (25 Bintang),4,Kolektor Terhormat V ,286,30,56.36,3,10332,5," Rp800,000.00 ",
Mythical Honor (42 Bintang),4,Kolektor Juragan IV ,491,34,64.43,4,4632,3,,
Mythic (15 Bintang),3,Kolektor Juragan V ,480,35,57.97,3,2778,2," Rp1,900,000.00 ",
Mythic (9 Bintang),3,Kolektor Juragan IV ,486,34,49.19,1,4427,3, Rp-   ,
Legend II,2,Kolektor Terhormat III ,380,28,66.08,5,2489,2," Rp850,000.00 ",
Mythic (2 Bintang),3,Kolektor Juragan IV ,466,34,49.52,1,1022,1," Rp1,850,000.00 ",
Epic I,1,Kolektor Juragan V ,335,35,47.35,1,7145,4," Rp2,100,000.00 ",
Mythic (10 Bintang),3,Kolektor Juragan I ,600,31,54.07,2,8316,5," Rp4,500,000.00 ",
Mythic (13 Bintang),3,Kolektor Terhormat III ,380,28,59.35,3,4545,3," Rp820,000.00 ",
Legend V,1,Kolektor Ternama II ,176,22,52.36,2,911,1, Rp-   ,
Legend IV,2,Kolektor Sultan ,600,36,60.2,4,2080,2," Rp4,450,000.00 ",
Mythical Glory (60 Bintang),5,Kolektor Juragan II ,583,32,54.75,2,1184,1," Rp2,500,000.00 ",Mei
Mythic (1 Bintang),3,Kolektor Sultan ,666,36,57.03,3,10933,5," Rp5,000,000.00 ",
Legend II,2,Kolektor Juragan IV ,500,34,54,2,4270,3," Rp1,800,000.00 ",
Mythic (13 Bintang),3,Kolektor Juragan I ,515,31,50.34,2,3524,3," Rp5,000,000.00 ",
Mythic (13 Bintang),3,Kolektor Juragan IV ,491,34,62.55,4,3029,3,,
Legend IV,2,Kolektor Juragan IV ,486,34,57.22,3,2576,2," Rp1,800,000.00 ",
Mythic (2 Bintang),3,Kolektor Ternama II ,176,22,54.46,2,2546,2,,
Legend IV,2,Kolektor Terhormat III ,337,28,54.66,2,5830,4,,
Mythical Honor (41 Bintang),4,Kolektor Juragan V ,448,35,64.56,4,1289,1," Rp1,350,000.00 ",
Mythical Honor (47 Bintang),4,Kolektor Terhormat III ,386,28,53.37,2,2294,2," Rp750,000.00 ",
Mythical Glory (64 Bintang),5,Kolektor Ternama I ,230,21,51.55,2,3578,3,,
Mythical Honor (33 Bintang),4,Kolektor Terhormat III ,306,28,45,1,1413,1," Rp750,000.00 ",
Mythic (15 Bintang),3,Kolektor Juragan III ,471,33,54.37,2,2469,2,,
Legend II,2,Kolektor Juragan II ,541,32,54.21,2,5616,4," Rp2,150,000.00 ",
Mythic (1 Bintang),3,Kolektor Ternama I ,214,21,55.76,3,2308,2,,
Mythical Honor (29 Bintang),4,Kolektor Juragan II ,571,32,51.71,2,525,1," Rp1,600,000.00 ",
Mythic (22 Bintang),3,Kolektor juragan V ,456,0,62.06,4,3062,3," Rp950,000.00 ",
Mythic (11 Bintang),3,Kolektor Juragan III ,501,33,62.11,4,1882,2," Rp1,810,000.00 ",
Mythic (18 Bintang),3,Kolektor Ternama I ,222,21,45,1,3853,3," Rp470,000.00 ",
Legend III,2,Kolektor Terhormat III ,346,28,57.45,3,1695,2," Rp700,000.00 ",
Mythic (15 Bintang),3,Kolektor Terhormat II ,351,27,53.91,2,912,1,,
Mythic (9 Bintang),3,Kolektor Terhormat II ,378,27,65.17,5,1839,2," Rp800,000.00 ",
Legend II,2,Kolektor Juragan II ,510,32,52.76,2,5809,4," Rp2,260,000.00 ",
Mythic (24 Bintang),3,Kolektor ternama II ,220,0,54.06,2,3475,3," Rp500,000.00 ",
Legend I,2,Kolektor Juragan II ,434,32,65.04,5,4440,3," Rp3,150,000.00 ",
Legend III,2,Kolektor ternama I ,238,0,64.42,4,4758,3," Rp550,000.00 ",
Mythic (19 Bintang),3,Kolektor terhormat V ,291,0,55.73,3,10933,5," Rp600,000.00 ",
Legend I,2,Kolektor Terhormat I ,463,26,57.76,3,4018,3," Rp750,000.00 ",
Mythical Glory (98 Bintang),5,Kolektor Terhormat V ,294,30,66.81,5,10330,5," Rp630,000.00 ",
Legend V,2,Kolektor ternama II ,254,0,53.19,2,3825,3," Rp250,000.00 ",
Mythical Honor (48 Bintang),4,Kolektor juragan III ,482,0,45,1,2826,2,,
Epic I,1,Kolektor Juragan V ,470,35,55.9,3,7670,4," Rp1,500,000.00 ",
Legend II,2,Kolektor ternama I ,254,0,52.34,2,2986,2,,
Epic IV,1,Kolektor terhormat III ,357,0,48.5,1,1118,1,,
Mythical Glory (60 Bintang),5,Kolektor juragan III ,508,0,45,1,1739,2,,
Epic I,1,Kolektor Terhormat I ,459,26,45,1,3436,3," Rp850,000.00 ",
Legend II,2,Kolektor terhormat II ,352,0,49.26,1,2317,2,,
Legend I,2,Kolektor Terhormat V ,260,30,60.36,4,4495,3,,
Mythical Honor (25 Bintang),4,Kolektor juragan IV ,492,0,59.8,3,8096,5," Rp1,150,000.00 ",
Legend II,2,Kolektor terhormat III ,367,0,55.11,3,1905,2,,
Legend V,2,Kolektor Terhormat I ,421,26,48.27,1,3480,3," Rp800,000.00 ",
Legend V,2,Kolektor Terhormat II ,351,27,57.03,3,1015,1," Rp790,000.00 ",
Legend III,2,Kolektor Terhormat V ,300,30,60.21,4,4175,3,,
Legend III,2,Kolektor Juragan IV ,491,34,51.52,2,4086,3," Rp2,000,000.00 ",Juni
Mythical Honor (35 Bintang),4,Kolektor Ternama II ,176,22,63.76,4,1894,2," Rp1,100,000.00 ",
Mythical Glory (94 Bintang),5,Kolektor Ternama I ,230,21,48.32,1,2626,2," Rp650,000.00 ",
Mythic (9 Bintang),3,Kolektor Juragan III ,471,33,58.98,3,5661,4, Rp-   ,
Mythic (23 Bintang),3,Kolektor Ternama I ,214,21,57.99,3,1537,2,,
Mythic (18 Bintang),3,Kolektor Terhormat II ,351,27,50.09,2,8316,5," Rp1,300,000.00 ",
Legend IV,2,Kolektor juragan III ,482,0,51.46,2,2164,2," Rp1,700,000.00 ",
Legend V,2,Kolektor ternama I ,254,0,59.6,3,1710,2," Rp650,000.00 ",
Epic II,1,Kolektor terhormat III ,357,0,58.79,3,11663,5," Rp550,000.00 ",
Mythic (8 Bintang),3,Kolektor juragan III ,508,0,46.02,1,4164,3," Rp1,750,000.00 ",
Mythical Honor (38 Bintang),4,Kolektor terhormat II ,352,0,45,1,12328,5," Rp850,000.00 ",
Mythical Glory (81 Bintang),5,Kolektor Terhormat V ,260,30,57.04,3,2127,2," Rp450,000.00 ",
Mythical Honor (45 Bintang),4,Kolektor terhormat III ,367,0,52.21,2,5444,4," Rp455,000.00 ",
Mythic (23 Bintang),3,Kolektor Terhormat V ,300,30,63.41,4,939,1," Rp700,000.00 ",
Mythical Glory (89 Bintang),5,Kolektor Terhormat I ,421,26,53.64,2,10931,5," Rp800,000.00 ",
Mythic (6 Bintang),3,Kolektor Terhormat II ,351,27,45,1,11484,5," Rp790,000.00 ",
Epic II,1,kolektor terhormat V ,367,0,45,1,10515,5," Rp350,000.00 ",
Legend V,1,Kolektor terhormat III ,306,0,45,1,7272,4," Rp950,000.00 ",
Mythic (22 Bintang),3,Kolektor terhormat III ,354,0,45,1,3786,3,,
Epic I,1,kolektor juragan II ,518,0,45,1,903,1," Rp1,700,000.00 ",
Legend II,2,kolektor terhormat V ,265,0,55.1,3,1130,1,,
Mythic (17 Bintang),3,Kolektor juragan III ,508,0,51.75,2,8833,5," Rp1,750,000.00 ",
Mythic (24 Bintang),3,kolektor terhormat III ,322,0,54.95,2,3841,3," Rp800,000.00 ",
Mythic (19 Bintang),3,kolektor juragan IV ,531,0,64.12,4,4528,3," Rp1,150,000.00 ",
Epic IV,1,kolektor juragan IV ,609,0,47.72,1,6986,4," Rp1,400,000.00 ",
Mythic (23 Bintang),3,Kolektor juragan II ,515,0,52.77,2,11822,5," Rp1,800,000.00 ",
Mythical Honor (46 Bintang),4,kolektor terhormat II ,392,0,51.17,2,2383,2,,
Mythical Glory (60 Bintang),5,Kolektor terhormat V ,311,0,62.13,4,8461,5," Rp650,000.00 ",
Legend III,2,kolektor ternama II ,226,0,64.36,4,2974,2," Rp600,000.00 ",
Mythic (7 Bintang),3,kolektor terhormat III ,369,0,53.13,2,6304,4,,
Epic II,1,kolektor terhormat V ,223,0,50.33,2,8475,5,,
Mythic (16 Bintang),3,Kolektor Ternama I ,214,21,54.71,2,10933,5," Rp300,000.00 ",Juli
Legend I,2,Kolektor terhormat III ,354,0,45,1,2803,2," Rp1,100,000.00 ",
Legend II,2,kolektor terhormat V ,265,0,52.19,2,3018,3," Rp500,000.00 ",
Legend II,2,kolektor terhormat II ,392,0,48.64,1,1890,2," Rp800,000.00 ",
Legend IV,2,kolektor terhormat III ,369,0,53.65,2,871,1," Rp550,000.00 ",
Legend IV,2,kolektor terhormat V ,223,0,50.55,2,2602,2," Rp550,000.00 ",
Legend III,2,Kolektor juragan IV ,483,0,54.84,2,3113,3," Rp1,250,000.00 ",
Legend IV,2,Kolektor terhormat II ,420,0,49.4,1,1141,1," Rp700,000.00 ",
Legend I,2,Kolektor ternama III ,230,0,56.77,3,2770,2," Rp250,000.00 ",
Mythic (3 Bintang),3,Kolektor Terhormat IV ,339,29,48.92,1,6510,4," Rp380,000.00 ",
Legend II,2,Kolektor Terhormat II ,396,27,51.05,2,1515,2," Rp600,000.00 ",
Epic II,1,kolektor juragan V ,419,0,63.66,4,2268,2," Rp1,100,000.00 ",
Epic I,1,Kolektor terhormat I ,464,0,54.46,2,6921,4," Rp700,000.00 ",
Mythic (18 Bintang),3,Kolektor ternama I ,245,0,55.8,3,8100,5," Rp240,000.00 ",
Mythic (10 Bintang),3,kolektor terhormat III ,360,0,48.26,1,1194,1," Rp600,000.00 ",
Mythical Honor (27 Bintang),4,Kolektor ternama I ,244,0,54.39,2,1174,1," Rp550,000.00 ",
Mythic (12 Bintang),3,kolektor terhormat IV ,292,0,64.98,4,4327,3," Rp350,000.00 ",
Mythic (10 Bintang),3,kolektor Ternama V ,145,0,45,1,6589,4," Rp427,500.00 ",
Legend III,2,kolektor terhormat V ,305,0,58.12,3,2709,2," Rp500,000.00 ",
Legend IV,2,Kolektor terhormat III ,342,0,46.92,1,6393,4," Rp560,000.00 ",
Mythical Honor (33 Bintang),4,Kolektor ternama III ,211,0,50.64,2,12191,5," Rp285,000.00 ",
Legend I,2,Kolektor Terhormat II ,416,27,49.09,1,1730,2," Rp850,000.00 ",
Epic V,1,Kolektor Ternama IV ,223,24,45,1,1302,1," Rp350,000.00 ",
Epic I,1,Kolektor ternama III ,165,0,63.43,4,936,1," Rp470,000.00 ",
Legend II,2,kolektor terhormat V ,290,0,47.84,1,4167,3," Rp450,000.00 ",
Legend II,2,Kolektor Ternama II ,275,22,50.71,2,1307,1," Rp210,000.00 ",
Legend V,2,Kolektor juragan IV ,536,0,56.09,3,750,1," Rp1,350,000.00 ",
Mythic (21 Bintang),3,kolektor juragan V ,386,0,45,1,1714,2," Rp1,000,000.00 ",
Epic V,1,kolektor terhormat V ,315,0,62.47,4,3029,3," Rp450,000.00 ",
Mythical Glory (87 Bintang),5,kolektor terhormat II ,366,0,53.47,2,2400,2," Rp530,000.00 ",
Epic III,1,Kolektor juragan IV ,445,0,54.29,2,912,1," Rp1,400,000.00 ",
Mythic (16 Bintang),3,Kolektor ternama I ,247,0,52.84,2,5256,4," Rp230,000.00 ",
Mythical Glory (63 Bintang),5,Kolektor Terhormat III ,412,28,49.36,1,6179,4," Rp650,000.00 ",
Mythical Glory (89 Bintang),5,kolektor terhormat IV ,281,0,59.54,3,3826,3," Rp500,000.00 ",
Mythic (8 Bintang),3,Kolektor ternama III ,243,0,45,1,3480,3," Rp430,000.00 ",
Legend I,2,Kolektor ternama I ,247,0,47.55,1,10537,5," Rp600,000.00 ",
Mythic (19 Bintang),3,Kolektor juragan IV ,497,0,52.65,2,713,1," Rp1,000,000.00 ",
Mythic (10 Bintang),3,Kolektor Terhormat II ,348,27,46.89,1,3998,3," Rp730,000.00 ",
Legend III,2,kolektor terhormat V ,282,0,56.03,3,10935,5," Rp270,000.00 ",
Mythic (17 Bintang),3,Kolektor terhormat III ,338,0,45,1,2805,2," Rp650,000.00 ",
Legend IV,2,kolektor juragan IV ,407,0,54.62,2,5975,4," Rp2,450,000.00 ",
Mythical Honor (45 Bintang),4,Kolektor terhormat I ,408,0,61.44,4,1360,1," Rp800,000.00 ",
Legend V,2,Kolektor Ternama IV ,213,24,45,1,2681,2," Rp250,000.00 ",
Mythic (13 Bintang),3,Kolektor juragan III ,548,0,46.61,1,11958,5," Rp1,595,200.00 ",
Epic V,1,Kolektor ternama I ,239,0,50.71,2,5206,4," Rp420,000.00 ",
Epic I,1,Kolektor juragan II ,524,0,57.82,3,4046,3," Rp1,350,000.00 ",
Legend II,2,kolektor juragan V ,460,0,65.08,5,2207,2,,
Epic I,1,Kolektor Ternama I ,214,21,45,1,1184,1," Rp400,000.00 ",Agustus
Epic II,1,Kolektor terhormat III ,354,0,52.5,2,3062,3," Rp1,400,000.00 ",
Epic I,1,kolektor terhormat V ,223,0,62.24,4,6998,4," Rp750,000.00 ",
Legend II,2,Kolektor Ternama II ,275,22,54.76,2,13385,5," Rp320,000.00 ",
Mythical Honor (29 Bintang),4,Kolektor Terhormat III ,412,28,62.44,4,3578,3," Rp800,000.00 ",
Epic II,1,Kolektor juragan II ,524,0,51.76,2,5809,4," Rp1,650,000.00 ",
Legend I,2,kolektor ternama III ,227,0,50.55,2,3178,3," Rp350,000.00 ",
Legend II,2,kolektor juragan V ,460,0,45,1,12328,5," Rp1,050,000.00 ",
Mythic (12 Bintang),3,Kolektor juragan IV ,497,0,59.48,3,6930,4," Rp1,160,000.00 ",
Mythical Glory (94 Bintang),5,Kolektor Ternama III ,245,23,63.46,4,9259,5," Rp350,000.00 ",
Legend III,2,kolektor terhormat V ,288,0,50.18,2,991,1," Rp400,000.00 ",
Mythical Honor (35 Bintang),4,Kolektor Juragan V ,419,35,50.88,2,6425,4," Rp1,200,000.00 ",
Epic III,1,Kolektor Terhormat IV ,385,29,59.36,3,13780,5," Rp420,000.00 ",
Mythic (17 Bintang),3,Kolektor terhormat IV ,329,0,51.77,2,6450,4," Rp360,000.00 ",
Epic IV,1,Kolektor juragan II ,516,0,47.95,1,3488,3," Rp1,400,000.00 ",
Mythic (11 Bintang),3,Kolektor Juragan V ,490,35,53.06,2,3113,3," Rp1,050,000.00 ",
Mythical Glory (54 Bintang),5,Kolektor Juragan III ,494,33,55.51,3,2513,2," Rp1,300,000.00 ",September
Legend II,2,kolektor terhormat III ,369,0,47.6,1,3261,3," Rp600,000.00 ",
Mythic (23 Bintang),3,Kolektor Juragan V ,469,35,56.03,3,12480,5," Rp800,000.00 ",
Mythical Honor (37 Bintang),4,Kolektor Juragan V ,432,35,45,1,14622,5," Rp850,000.00 ",
Mythic (5 Bintang),3,Kolektor ternama II ,188,0,53.95,2,800,1," Rp530,000.00 ",
Legend III,2,Kolektor terhormat IV ,354,0,50.51,2,3424,3," Rp370,000.00 ",
Epic I,1,Kolektor Juragan II ,508,32,46.35,1,10515,5," Rp2,300,000.00 ",
Legend IV,2,Kolektor juragan III ,537,0,50.48,2,1547,2," Rp1,300,000.00 ",
Mythical Honor (36 Bintang),4,Kolektor terhormat IV ,288,0,51.35,2,10931,5," Rp650,000.00 ",
Epic V,1,Kolektor terhormat III ,290,0,45,1,6340,4," Rp650,000.00 ",
Epic II,1,Kolektor terhormat II ,338,0,66.67,5,8316,5," Rp650,000.00 ",
Mythic (23 Bintang),3,Kolektor juragan III ,634,0,63.67,4,6438,4," Rp1,600,000.00 ",
Legend II,2,Kolektor Ternama IV ,213,24,56.79,3,7676,4," Rp250,000.00 ",
Epic V,1,kolektor terhormat V ,247,0,62.76,4,8461,5," Rp380,000.00 ",
Legend III,2,kolektor terhormat V ,271,0,62.96,4,1366,1," Rp800,000.00 ",Oktober
Mythic (8 Bintang),3,kolektor terhormat V ,299,0,45,1,3261,3," Rp450,000.00 ",
Legend I,2,Kolektor ternama I ,245,0,55.37,3,1695,2," Rp250,000.00 ",
Legend I,2,Kolektor Terhormat I ,484,26,61.26,4,4840,3," Rp700,000.00 ",
Legend III,2,Kolektor Ternama I ,247,21,56.04,3,5632,4," Rp250,000.00 ",
Legend V,2,Kolektor Ternama I ,250,21,58.18,3,5948,4," Rp550,000.00 ",
Mythic (2 Bintang),3,Kolektor ternama II ,229,0,51.05,2,5408,4," Rp250,000.00 ",
Legend I,2,kolektor terhormat V ,315,0,50.7,2,11105,5," Rp550,000.00 ",
Legend III,2,Kolektor terhormat II ,406,0,63.37,4,589,1," Rp670,000.00 ",
Legend III,2,Kolektor terhormat IV ,355,0,45,1,2882,2," Rp450,000.00 ",
Mythic (19 Bintang),3,Kolektor Ternama IV ,192,24,54.4,2,3827,3," Rp500,000.00 ",
Mythic (20 Bintang),3,Kolektor ternama II ,188,0,53.64,2,3577,3," Rp500,000.00 ",
Mythic (24 Bintang),3,Kolektor Juragan III ,494,33,55.89,3,4004,3," Rp1,700,000.00 ",
Mythic (7 Bintang),3,Kolektor terhormat III ,327,0,62.48,4,6112,4," Rp550,000.00 ",
Legend II,2,Kolektor terhormat III ,359,0,64.98,4,3004,3,,
Epic I,1,Kolektor Juragan III ,555,33,47.47,1,775,1," Rp1,500,000.00 ",
Legend V,2,kolektor terhormat V ,295,0,47.29,1,1307,1," Rp450,000.00 ",
Legend IV,2,Kolektor Ternama III ,234,23,54.31,2,5190,4," Rp450,000.00 ",
Legend III,2,Kolektor Ternama IV ,203,24,57.17,3,1843,2," Rp250,000.00 ",
Mythic (23 Bintang),3,Kolektor Ternama I ,220,21,54.38,2,6227,4," Rp500,000.00 ",
Mythical Honor (33 Bintang),4,Kolektor ternama II ,219,0,49.34,1,962,1," Rp450,000.00 ",
Legend I,2,Kolektor Juragan V ,424,35,56.32,3,11795,5," Rp1,350,000.00 ",
Legend III,2,Kolektor terhormat IV ,260,0,46,1,7200,4," Rp650,000.00 ",
Mythic (3 Bintang),3,Kolektor Terhormat IV ,312,29,51.3,2,6561,4," Rp720,000.00 ",
Legend I,2,Kolektor Terhormat I ,484,26,51.27,2,1657,2," Rp700,000.00 ",
Legend II,2,Kolektor Juragan V ,492,35,55.81,3,10179,5,,
Epic II,1,Kolektor Juragan V ,415,35,45,1,1804,2," Rp1,200,000.00 ",
Legend II,2,Kolektor ternama I ,247,0,51.11,2,1052,1," Rp650,000.00 ",November
Epic II,1,Kolektor terhormat III ,355,0,45,1,4025,3," Rp650,000.00 ",
Mythical Honor (28 Bintang),4,Kolektor Ternama I ,244,21,51.35,2,6689,4," Rp600,000.00 ",
Epic I,1,Kolektor terhormat III ,396,0,61.12,4,4758,3," Rp500,000.00 ",
Mythic (9 Bintang),3,Kolektor Terhormat V ,240,30,45,1,2456,2," Rp550,000.00 ",
Mythical Honor (32 Bintang),4,Kolektor Juragan IV ,472,34,62.24,4,6166,4," Rp1,000,000.00 ",
Legend I,2,Kolektor Juragan IV ,495,34,62.43,4,4516,3," Rp1,350,000.00 ",
Mythical Glory (94 Bintang),5,Kolektor Juragan II ,573,32,59.15,3,4086,3," Rp2,000,000.00 ",
Legend III,2,Kolektor Juragan V ,492,35,52.19,2,3670,3," Rp1,000,000.00 ",
Mythic (6 Bintang),3,Kolektor Juragan V ,415,35,46.61,1,2917,2," Rp1,200,000.00 ",
Mythic (11 Bintang),3,Kolektor Terhormat II ,368,27,62.47,4,5616,4," Rp800,000.00 ",
Mythic (23 Bintang),3,Kolektor Terhormat II ,308,27,51.61,2,1397,1," Rp750,000.00 ",
Epic IV,1,Kolektor Ternama V ,220,25,45,1,1026,1,,
Legend I,2,Kolektor Juragan V ,460,35,63.12,4,1361,1," Rp1,100,000.00 ",
Mythical Honor (31 Bintang),4,Kolektor Ternama IV ,203,24,45,1,5073,4," Rp250,000.00 ",
Legend II,2,kolektor terhormat V ,271,0,51.98,2,6703,4," Rp600,000.00 ",
Legend I,2,Kolektor Juragan III ,555,33,55.66,3,10933,5," Rp1,500,000.00 ",
Mythic (1 Bintang),3,Kolektor ternama II ,219,0,54.39,2,5043,4," Rp450,000.00 ",
Mythic (15 Bintang),3,Kolektor Terhormat IV ,312,29,50.7,2,1184,1," Rp650,000.00 ",
Mythical Glory (60 Bintang),5,Kolektor Juragan V ,495,35,60.43,4,1174,1," Rp800,000.00 ",
Mythic (24 Bintang),3,Kolektor ternama II ,228,0,57.25,3,4255,3," Rp500,000.00 ",
Mythic (12 Bintang),3,Kolektor ternama II ,264,0,59.21,3,2750,2," Rp450,000.00 ",
Legend III,2,Kolektor Terhormat IV ,298,29,60.87,4,6147,4,   ,
Legend II,2,Kolektor Juragan II ,573,32,47.53,1,1924,2," Rp2,000,000.00 ",
Mythical Glory (64 Bintang),5,Kolektor ternama I ,247,0,62.51,4,534,1," Rp600,000.00 ",Desember
Mythic (2 Bintang),3,Kolektor Ternama V ,220,25,50.48,2,5519,4," Rp130,000.00 ",
Mythical Honor (33 Bintang),4,Kolektor Juragan III ,555,33,45,1,6988,4," Rp1,220,000.00 ",
Legend V,2,Kolektor Terhormat IV ,312,29,59.38,3,866,1," Rp580,000.00 ",
Mythic (24 Bintang),3,Kolektor Terhormat IV ,298,29,48.53,1,2919,2," Rp500,000.00 ",
Legend I,2,Kolektor Juragan III ,555,33,54.1,2,997,1," Rp1,700,000.00 ",
